"property","value"
"version","1.1.11"
"build","1011102"
"fileFormat","1.15"
"deviceModel","SM-M205FN"
"deviceBrand","samsung"
"deviceBoard","exynos7904"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/m20lteeea/m20lte:10/QP1A.190711.020/M205FNEEU8CUG1:user/release-keys"
"deviceCodename","REL"
"deviceRelease","10"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","LSM6DSL Accelerometer"
"accelerometer Vendor","STM"
"accelerometer Range","39.2266"
"accelerometer Resolution","0.0011971008"
"accelerometer MinDelay","10000"
"accelerometer MaxDelay","200000"
"accelerometer Power","0.13"
"accelerometer Version","1"
"linear_acceleration Name","Samsung Linear Acceleration Sensor"
"linear_acceleration Vendor","Samsung Electronics"
"linear_acceleration Range","39.2266"
"linear_acceleration Resolution","0.0011971008"
"linear_acceleration MinDelay","10000"
"linear_acceleration MaxDelay","0"
"linear_acceleration Power","12.23"
"linear_acceleration Version","1"
"gravity Name","Samsung Gravity Sensor"
"gravity Vendor","Samsung Electronics"
"gravity Range","19.6133"
"gravity Resolution","0.0011971008"
"gravity MinDelay","10000"
"gravity MaxDelay","0"
"gravity Power","12.23"
"gravity Version","1"
"gyroscope Name","LSM6DSL Gyroscope"
"gyroscope Vendor","STM"
"gyroscope Range","17.453293"
"gyroscope Resolution","6.1086525E-4"
"gyroscope MinDelay","10000"
"gyroscope MaxDelay","200000"
"gyroscope Power","6.1"
"gyroscope Version","1"
"magnetic_field Name","YAS539 Magnetometer"
"magnetic_field Vendor","Yamaha Corporation"
"magnetic_field Range","1200.0"
"magnetic_field Resolution","0.06"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","200000"
"magnetic_field Power","6.0"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","null"
"light Vendor","null"
"light Range","null"
"light Resolution","null"
"light MinDelay","null"
"light MaxDelay","null"
"light Power","null"
"light Version","null"
"proximity Name","GP2AP110S Proximity"
"proximity Vendor","SHARP"
"proximity Range","8.0"
"proximity Resolution","8.0"
"proximity MinDelay","0"
"proximity MaxDelay","200000"
"proximity Power","0.75"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Samsung Rotation Vector Sensor"
"attitude Vendor","Samsung Electronics"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","10000"
"attitude MaxDelay","0"
"attitude Power","12.23"
"attitude Version","3"
